iter	Logloss
0	0.6323557473
1	0.5815780199
2	0.5380076803
3	0.504197991
4	0.4706907373
5	0.4425849925
6	0.4193530476
7	0.3996902031
8	0.3819585541
9	0.3673297188
10	0.3549958832
11	0.3433263265
12	0.3344836737
13	0.3265115118
14	0.3182577462
15	0.3109061087
16	0.3048890302
17	0.2996452536
18	0.29406927
19	0.2902531816
20	0.2865531553
21	0.2831652306
22	0.2795258643
23	0.2769455227
24	0.2741587663
25	0.2718098023
26	0.2697271745
27	0.267739779
28	0.2652996634
29	0.2634913835
30	0.2615749823
31	0.2595765882
32	0.2584115794
33	0.2571837951
34	0.2561483361
35	0.2550588874
36	0.253971502
37	0.2529591293
38	0.251990962
39	0.2510302422
40	0.2499522873
41	0.249122597
42	0.2482801916
43	0.2476095931
44	0.2468783504
45	0.2462503501
46	0.2456736895
47	0.245055079
48	0.2444515829
49	0.2439316989
50	0.2434745827
51	0.2430340331
52	0.2425232561
53	0.2420449248
54	0.2416514037
55	0.2412246108
56	0.240873775
57	0.2404741728
58	0.2400905409
59	0.2397655295
60	0.2394362634
61	0.2390985536
62	0.2387307662
63	0.2384729716
64	0.2382341734
65	0.2379423544
66	0.2375266329
67	0.2372485363
68	0.2369747106
69	0.2367208023
70	0.2364755868
71	0.2361147842
72	0.2358693701
73	0.2355996961
74	0.2353692169
75	0.2351546409
76	0.2349906037
77	0.234801681
78	0.2346000542
79	0.234397301
80	0.2342267803
81	0.2339646573
82	0.2337840621
83	0.2336114278
84	0.2334266724
85	0.2332680187
86	0.2331127642
87	0.2329565738
88	0.2328038927
89	0.2326571631
90	0.2325304959
91	0.2323977004
92	0.2322428815
93	0.2320812029
94	0.231907254
95	0.2317595981
96	0.2316490175
97	0.2315120322
98	0.2313853533
99	0.2312079145
100	0.231088364
101	0.2309687992
102	0.2308730224
103	0.2307578691
104	0.2306449395
105	0.2305211575
106	0.2303681146
107	0.2302428471
108	0.2301326451
109	0.230028668
110	0.229918204
111	0.2298092152
112	0.2296912534
113	0.2295819114
114	0.2294997611
115	0.2294163383
116	0.2292763789
117	0.229176013
118	0.2290883102
119	0.2290021277
120	0.228857686
121	0.228767643
122	0.2286826404
123	0.2285837727
124	0.2285171061
125	0.2284318134
126	0.2283219854
127	0.2281973754
128	0.2281089819
129	0.2280116604
130	0.2279368951
131	0.2278670841
132	0.2277628925
133	0.2276645143
134	0.2275822697
135	0.2274901581
136	0.2274084
137	0.2273204144
138	0.2272368995
139	0.2271670813
140	0.2271086029
141	0.2270507041
142	0.2269674533
143	0.2268830151
144	0.22681399
145	0.2267422276
146	0.2266375769
147	0.2265789783
148	0.2265271822
149	0.2264547893
150	0.2263793822
151	0.2263152799
152	0.226252103
153	0.226187831
154	0.2261185286
155	0.2260663526
156	0.2260066293
157	0.2259384108
158	0.2258594188
159	0.2258048325
160	0.2257449491
161	0.2256725838
162	0.2256162238
163	0.225561563
164	0.2255058395
165	0.2254459102
166	0.225399121
167	0.2253441083
168	0.2252842558
169	0.2252250213
170	0.2251661874
171	0.2251040527
172	0.2250460976
173	0.2249754975
174	0.2249092161
175	0.2248399977
176	0.2247879662
177	0.2247281991
178	0.2246688877
179	0.2246205824
180	0.2245607008
181	0.2245045238
182	0.2244459307
183	0.2243873678
184	0.2243432231
185	0.2243019963
186	0.2242453133
187	0.2241918771
188	0.2241503996
189	0.2240993904
190	0.2240595804
191	0.2240105125
192	0.223957779
193	0.223901574
194	0.2238486586
195	0.2237964067
196	0.2237484415
197	0.2237034102
198	0.2236536478
199	0.223584371
200	0.2235328824
201	0.2234795897
202	0.2234286212
203	0.2233895987
204	0.2233406027
205	0.2232787222
206	0.2232235835
207	0.2231758623
208	0.2231115358
209	0.2230686579
210	0.2230196688
211	0.2229758058
212	0.2229363244
213	0.2228756186
214	0.2228356456
215	0.222793485
216	0.2227415364
217	0.2227023662
218	0.2226391986
219	0.2225966979
220	0.2225390203
221	0.2225015659
222	0.2224579285
223	0.2224147381
224	0.2223631819
225	0.2223233601
226	0.2222750772
227	0.2222219942
228	0.2221751623
229	0.2221290811
230	0.2220958393
231	0.2220548399
232	0.2220048419
233	0.2219669792
234	0.2219278322
235	0.2218766254
236	0.221825702
237	0.221781925
