iter	Passed	Remaining
0	397	3971139
1	769	3847170
2	1177	3922480
3	1613	4032477
4	2007	4013231
5	2428	4045526
6	2877	4107474
7	3284	4101984
8	3721	4130854
9	4118	4114684
10	4485	4072990
11	4930	4103900
12	5367	4123699
13	5758	4107784
14	6202	4128806
15	6617	4129132
16	7041	4134881
17	7429	4120048
18	7885	4142227
19	8225	4104299
20	8646	4108804
21	9038	4099533
22	9483	4113904
23	9861	4099025
24	10311	4114409
25	10721	4112847
26	11103	4101270
27	11500	4095691
28	11940	4105444
29	12302	4088613
30	12760	4103514
31	13155	4097868
32	13553	4093609
33	13913	4078251
34	14317	4076387
35	14712	4071995
36	15156	4081177
37	15532	4072041
38	15907	4062908
39	16333	4067111
40	16692	4054742
41	17084	4050672
42	17483	4048361
43	17889	4047887
44	18281	4044177
45	18670	4040210
46	19073	4039187
47	19469	4036624
48	19880	4037453
49	20247	4029205
50	20630	4024546
51	21056	4028193
52	21445	4024889
53	21843	4023330
54	22237	4021022
55	22590	4011392
56	23010	4013849
57	23409	4012633
58	23811	4012070
59	24191	4007802
60	24580	4004993
61	24998	4007063
62	25373	4002145
63	25746	3997074
64	26108	3990564
65	26515	3990919
66	26936	3993398
67	27291	3986148
68	27681	3984075
69	28049	3978966
70	28448	3978412
71	28881	3982381
72	29260	3979046
73	29630	3974480
74	30019	3972561
75	30406	3970485
76	30771	3965536
77	31139	3961066
78	31555	3962862
79	31950	3961852
80	32321	3957939
81	32693	3954359
82	33071	3951436
83	33419	3945064
84	33835	3946781
85	34254	3948837
86	34660	3949357
87	35053	3948321
88	35429	3945362
89	35782	3940039
90	36146	3936027
91	36518	3932920
92	36897	3930608
93	37290	3929755
94	37675	3928144
95	38049	3925478
96	38420	3922406
97	38818	3922257
98	39203	3920770
99	39577	3918183
100	39903	3910954
101	40301	3910852
102	40678	3908654
103	41065	3907577
104	41443	3905599
105	41791	3900831
106	42237	3905175
107	42663	3907664
108	43070	3908325
109	43454	3906969
110	43804	3902555
111	44196	3901903
112	44610	3903198
113	45051	3906850
114	45479	3909250
115	45830	3905091
116	46198	3902417
117	46629	3905062
118	47003	3902858
119	47403	3902883
120	47843	3906143
121	48202	3902805
122	48561	3899489
123	48971	3900360
124	49356	3899149
125	49709	3895451
126	50154	3899009
127	50512	3895774
128	50875	3892960
129	51297	3894656
130	51637	3890181
131	51997	3887211
132	52374	3885549
133	52773	3885536
134	53154	3884212
135	53521	3881867
136	53893	3879956
137	54243	3876436
138	54660	3877723
139	55056	3877517
