iter	Passed	Remaining
0	55	38545
1	56	19669
2	57	13371
3	58	10235
4	60	8347
5	61	7093
6	62	6201
7	63	5522
8	64	4959
9	65	4543
10	67	4200
11	68	3918
12	69	3648
13	70	3454
14	71	3278
15	73	3122
16	74	2986
17	75	2862
18	76	2753
19	78	2655
20	79	2561
21	80	2481
22	81	2408
23	83	2340
24	84	2277
25	85	2217
26	86	2160
27	87	2108
28	89	2061
29	90	2012
30	91	1972
31	92	1936
32	94	1900
33	95	1865
34	96	1833
35	97	1802
36	98	1771
37	100	1745
38	101	1721
39	102	1696
40	104	1673
41	105	1650
42	106	1628
43	107	1606
44	109	1586
45	110	1566
46	111	1547
47	112	1529
48	113	1510
49	114	1492
50	116	1476
51	117	1461
52	118	1448
53	119	1435
54	121	1423
55	122	1410
56	123	1398
57	125	1387
58	126	1375
59	127	1363
60	128	1351
61	130	1339
62	131	1330
63	132	1320
64	134	1310
65	135	1300
66	136	1291
67	137	1280
68	139	1271
69	140	1263
70	141	1255
71	143	1248
72	144	1242
73	146	1236
74	147	1230
75	148	1222
76	150	1215
77	151	1209
78	152	1202
79	154	1195
80	155	1189
81	157	1183
82	158	1177
83	159	1171
84	160	1164
85	162	1158
86	163	1152
87	165	1147
88	166	1144
89	168	1139
90	169	1134
91	171	1130
92	172	1125
93	173	1119
94	175	1114
95	176	1109
96	177	1104
97	179	1099
98	180	1094
99	181	1091
100	183	1087
101	184	1082
102	185	1077
103	187	1072
104	188	1069
105	189	1064
106	191	1059
107	192	1053
108	193	1048
109	194	1043
110	195	1039
111	197	1034
112	198	1029
113	199	1025
114	200	1021
115	202	1017
116	203	1012
117	204	1008
118	205	1003
119	206	999
120	208	996
121	209	994
122	211	991
123	212	988
124	214	984
125	215	980
126	216	977
127	217	973
128	219	970
129	220	967
130	221	964
131	223	960
132	224	956
133	225	953
134	226	950
135	228	946
136	229	943
137	230	939
138	231	935
139	233	932
140	234	928
141	235	925
142	236	921
143	237	918
144	239	914
145	240	911
146	241	907
147	242	904
148	243	900
149	244	898
150	246	894
151	247	891
152	248	888
153	249	885
154	250	881
155	251	878
156	253	875
157	254	872
158	255	869
159	256	866
160	257	863
161	259	860
162	260	857
163	261	854
164	262	851
165	263	848
166	264	845
167	265	842
168	267	839
169	268	836
170	269	833
171	270	830
172	271	828
173	273	825
174	274	823
175	275	820
176	277	818
177	278	816
178	279	813
179	280	811
180	281	808
181	283	806
182	284	803
183	285	800
184	286	798
185	288	796
186	289	793
187	290	791
188	291	789
189	293	787
190	294	784
191	295	782
192	296	779
193	297	777
194	299	774
195	300	772
196	301	770
197	302	768
198	304	765
199	305	763
200	306	761
201	308	759
202	309	757
203	310	755
204	311	753
205	313	751
206	314	749
207	316	747
208	317	745
209	319	744
210	320	742
211	321	740
212	323	738
213	324	736
214	325	734
215	326	732
216	328	730
217	329	728
218	331	726
219	332	724
220	333	722
221	334	721
222	336	720
223	338	718
224	339	716
225	340	714
226	341	712
227	343	710
228	344	708
229	346	707
230	347	705
231	348	703
232	350	701
233	351	700
234	352	698
235	354	696
236	355	694
237	356	692
238	358	691
