iter	Passed	Remaining
0	1	972
1	2	945
2	4	942
3	5	937
4	6	944
5	8	940
6	9	938
7	10	870
8	11	879
9	12	893
10	14	901
11	15	909
12	17	910
13	18	910
14	19	910
15	21	908
16	22	910
17	24	911
18	25	908
19	26	907
20	28	906
21	29	905
22	30	904
23	32	904
24	33	903
25	34	900
26	36	901
27	37	899
28	38	899
29	40	899
30	41	900
31	43	900
32	44	900
33	45	901
34	47	900
35	48	900
36	50	901
37	51	899
38	53	898
39	54	896
40	55	895
41	57	893
42	58	891
43	59	890
44	60	887
45	62	886
46	63	885
47	65	884
48	66	882
49	67	881
50	69	880
51	70	878
52	71	877
53	73	875
54	74	875
55	75	873
56	77	872
57	78	873
58	80	877
59	82	883
60	84	887
61	86	888
62	87	885
63	89	884
64	90	882
65	91	881
66	93	879
67	94	877
68	95	874
69	96	871
70	97	868
71	99	864
72	100	862
73	101	859
74	102	857
75	104	855
76	104	848
77	106	846
78	107	845
79	108	842
80	110	840
81	111	839
82	112	839
83	114	838
84	115	837
85	117	836
86	118	835
87	119	834
88	121	832
89	122	829
90	123	828
91	125	827
92	126	826
93	127	824
94	129	822
95	130	821
96	131	819
97	133	817
98	134	815
99	135	813
100	136	810
101	137	808
102	139	805
103	140	803
104	141	802
105	143	802
106	144	800
107	145	797
108	146	795
109	147	792
110	148	790
111	150	788
112	151	785
113	152	783
114	153	780
115	154	778
116	155	776
117	156	773
118	158	771
119	159	769
120	160	766
121	161	764
122	163	767
123	164	765
124	165	763
125	167	761
126	168	758
127	169	756
128	170	754
129	171	752
130	172	750
131	173	748
132	175	746
133	176	743
134	177	742
135	178	740
136	179	738
137	180	736
138	182	735
139	183	733
140	184	731
141	185	730
142	187	729
143	188	727
144	189	725
145	190	723
146	191	721
147	193	720
148	194	719
149	195	718
150	197	717
151	198	716
152	199	714
153	201	713
154	202	712
155	203	710
156	205	709
157	206	708
158	207	706
159	208	705
160	210	703
161	211	702
162	212	701
163	214	699
164	215	698
165	216	697
166	217	695
167	219	694
168	220	692
169	221	691
170	223	690
171	224	688
172	225	687
173	227	686
174	228	685
175	229	683
176	230	682
177	232	680
178	233	679
179	234	677
180	235	676
181	237	675
182	238	673
183	239	672
184	241	671
185	242	669
186	243	668
187	244	666
188	245	664
189	247	663
190	248	662
191	249	660
192	251	659
193	252	658
194	253	657
195	254	655
196	256	654
197	257	652
198	258	651
199	259	649
200	261	648
201	262	647
202	263	646
203	265	644
204	266	643
205	267	642
206	269	640
207	270	639
208	271	638
209	272	636
210	274	635
211	275	634
212	277	633
213	278	632
214	279	631
215	280	629
216	282	627
217	282	625
218	284	624
219	285	622
220	286	621
221	288	620
222	289	618
223	290	617
224	291	615
225	293	614
226	294	613
227	295	612
228	296	610
