iter	Logloss
0	0.6648996754
1	0.6409854588
2	0.619724703
3	0.5979986112
4	0.5827452304
5	0.5621265717
6	0.5480032581
7	0.5319057633
8	0.5209759524
9	0.5054338699
10	0.4916201297
11	0.4807002231
12	0.4743305396
13	0.4660394614
14	0.4548808482
15	0.4485348538
16	0.4419079185
17	0.4364309197
18	0.4296470701
19	0.4240013879
20	0.4190898716
21	0.4128919394
22	0.4065579918
23	0.4015778881
24	0.3959699126
25	0.3926432112
26	0.3893196703
27	0.3851112366
28	0.3829478747
29	0.3815126635
30	0.3761248768
31	0.3727360782
32	0.3692957582
33	0.3675999529
34	0.3638115529
35	0.3622344489
36	0.3597739581
37	0.3577172298
38	0.3548186132
39	0.3535256244
40	0.3506522974
41	0.3476741593
42	0.3437572971
43	0.3411562896
44	0.3393158497
45	0.3362442804
46	0.3347148836
47	0.3327477501
48	0.3312450971
49	0.3294730379
50	0.3264178243
51	0.3244609662
52	0.3224489237
53	0.3200405249
54	0.3190463984
55	0.3172648957
56	0.3160193171
57	0.3134826441
58	0.3116486551
59	0.3107975195
60	0.3099433552
61	0.3081496572
62	0.3065929672
63	0.3045483772
64	0.3034657239
65	0.3019666318
66	0.3009918157
67	0.2998121117
68	0.2987967082
69	0.2972132987
70	0.296181328
71	0.2952786121
72	0.2934833721
73	0.2922950141
74	0.2915620245
75	0.2897016581
76	0.2883911057
77	0.2861737388
78	0.2853591046
79	0.283411803
80	0.2813119849
81	0.2803393232
82	0.278987841
83	0.2778974723
84	0.2768631942
85	0.2760120645
86	0.2750481118
87	0.2742749679
88	0.2728897541
89	0.2717442495
90	0.2707384998
91	0.2697375422
92	0.268773834
93	0.2669190171
94	0.2659849678
95	0.2652414069
96	0.2646042433
97	0.2633686148
98	0.2621785253
99	0.2612222049
100	0.2606479022
101	0.2595575469
102	0.2582661009
103	0.2575914728
104	0.2568647029
105	0.2553565728
106	0.2535553915
107	0.2524941254
108	0.2515627946
109	0.2506835812
110	0.2497192677
111	0.2488402413
112	0.2481270882
113	0.2478436179
114	0.2471644382
115	0.2464577588
116	0.2453667605
117	0.2443433303
118	0.2436989424
119	0.2429696774
120	0.2421432412
121	0.241121182
122	0.2406361776
123	0.2403031632
124	0.2397433996
125	0.2384831643
126	0.2372732785
127	0.2361387261
128	0.2347133309
129	0.2337139064
130	0.2327905452
131	0.2318407447
132	0.2314049583
133	0.2306642537
134	0.2297840642
135	0.2287353891
136	0.2279732885
137	0.2270441919
138	0.2262233338
139	0.2253569777
140	0.2247963215
141	0.2243422282
142	0.2240751717
143	0.2235640174
144	0.2225876937
145	0.2220996509
146	0.2213122094
